PM10,NO2,H2S,SO2,CO,datetime,ws,wd
120.0,43.7,1.7,26.7,0.6,2019-03-05 14:00:00,1.6,339.0
107.0,42.8,2.0,16.0,0.5,2019-03-05 15:00:00,1.3,343.0
88.0,45.0,2.2,6.2,0.5,2019-03-05 16:00:00,1.0,343.0
99.0,49.4,2.5,3.6,0.5,2019-03-05 17:00:00,1.3,345.0
91.0,53.1,2.7,4.9,0.6,2019-03-05 18:00:00,1.2,338.0
88.0,47.5,1.5,2.7,0.5,2019-03-05 19:00:00,1.5,357.0
96.0,55.0,2.0,3.6,0.5,2019-03-05 20:00:00,1.2,343.0
56.0,37.4,1.5,2.7,0.5,2019-03-05 21:00:00,1.3,339.0
20.0,60.1,2.2,4.0,0.8,2019-03-05 22:00:00,0.8,327.0
24.0,108.5,4.5,7.6,1.2,2019-03-05 23:00:00,0.2,206.0
57.0,69.8,2.0,3.1,0.7,2019-03-06 00:00:00,0.4,130.0
33.0,59.7,1.5,2.7,0.6,2019-03-06 01:00:00,0.6,143.0
27.0,55.7,1.7,2.7,0.5,2019-03-06 02:00:00,0.2,144.0
19.0,29.2,0.7,0.9,0.4,2019-03-06 03:00:00,0.7,133.0
6.0,19.8,1.0,0.0,0.3,2019-03-06 04:00:00,0.1,169.0
3.0,24.5,0.5,0.0,0.3,2019-03-06 05:00:00,0.2,155.0
1.0,34.0,1.5,1.3,0.4,2019-03-06 06:00:00,0.3,118.0
3.0,46.9,1.5,2.7,0.4,2019-03-06 07:00:00,0.4,134.0
4.0,67.6,2.5,5.3,0.6,2019-03-06 08:00:00,0.6,134.0
11.0,103.5,6.0,9.3,1.2,2019-03-06 09:00:00,0.4,146.0
13.0,96.2,5.7,9.3,1.0,2019-03-06 10:00:00,0.4,142.0
19.0,89.0,4.0,7.1,0.7,2019-03-06 11:00:00,0.7,52.0
23.0,52.5,1.5,5.3,0.4,2019-03-06 12:00:00,0.7,100.0
19.0,47.5,1.5,4.4,0.5,2019-03-06 13:00:00,0.7,11.0
45.0,40.3,1.5,2.7,0.5,2019-03-06 14:00:00,2.4,14.0
62.0,38.1,1.5,2.7,0.4,2019-03-06 15:00:00,2.9,12.0
48.0,42.5,1.5,3.6,0.5,2019-03-06 16:00:00,3.6,9.0
64.0,39.9,1.7,2.7,0.5,2019-03-06 17:00:00,3.8,3.0
151.0,25.5,1.5,1.8,0.5,2019-03-06 18:00:00,4.1,358.0
63.0,17.0,1.5,1.8,0.4,2019-03-06 19:00:00,3.8,2.0
