station_name,pollutantnotation,endtime,the_value,resolution,verification,station_local_id,concentration
Reykjavik Husdyragardurinn,PM10,2020-08-11 18:00:00,4.923,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-11 14:00:00,1.6232,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-12 07:00:00,1.2982,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-12 04:00:00,2.4935,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-12 01:00:00,5.2815,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-12 02:00:00,3.21983,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-11 11:00:00,4.711,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-12 08:00:00,2.1935,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-11 15:00:00,1.331,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-12 03:00:00,3.70233,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-11 13:00:00,1.45017,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-12 06:00:00,4.4155,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-12 00:00:00,7.21267,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-11 23:00:00,7.39667,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-11 20:00:00,2.6015,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-11 21:00:00,7.013,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-11 16:00:00,5.9335,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-11 10:00:00,4.51083,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-11 19:00:00,5.144,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-12 05:00:00,5.52967,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-11 12:00:00,0.11,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM10,2020-08-11 22:00:00,5.17184,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,PM2.5,2020-08-11 19:00:00,1.1745,1h,3,STA-IS0006A,µg/m3
