Nafn,Númer,Greiningartími,Spátími,Villa,Úrkoma á klst. (mm),Úrkomuklukkustundir (klst.),Hiti (°C),Vindhraði (m/s),Vindátt,Veður,Skýjahula (%),Vindgráður
Reykjavík,1,2020-08-18 12:00:00,2020-08-18 13:00:00,,0,0 / 1klst.,16,2,VSV,Léttskýjað,0,252
Reykjavík,1,2020-08-18 12:00:00,2020-08-18 14:00:00,,0,0 / 1klst.,17,2,V,Skýjað,90,275
Reykjavík,1,2020-08-18 12:00:00,2020-08-18 15:00:00,,0,0 / 1klst.,17,3,V,Alskýjað,100,275
Reykjavík,1,2020-08-18 12:00:00,2020-08-18 16:00:00,,0,0 / 1klst.,18,2,VSV,Skýjað,80,252
Reykjavík,1,2020-08-18 12:00:00,2020-08-18 17:00:00,,0,0 / 1klst.,16,4,VSV,Léttskýjað,30,252
Reykjavík,1,2020-08-18 12:00:00,2020-08-18 18:00:00,,0,0 / 1klst.,17,4,VSV,Léttskýjað,20,252
Reykjavík,1,2020-08-18 12:00:00,2020-08-18 19:00:00,,0,0 / 1klst.,16,5,SV,Alskýjað,100,229
Reykjavík,1,2020-08-18 12:00:00,2020-08-18 20:00:00,,0,0 / 1klst.,15,3,SSV,Alskýjað,100,206
Reykjavík,1,2020-08-18 12:00:00,2020-08-18 21:00:00,,0,0 / 1klst.,15,2,S,Alskýjað,100,183
Reykjavík,1,2020-08-18 12:00:00,2020-08-18 22:00:00,,0,1 / 1klst.,14,1,ASA,Lítils háttar rigning,100,114
Reykjavík,1,2020-08-18 12:00:00,2020-08-18 23:00:00,,0,2 / 1klst.,13,1,A,Lítils háttar rigning,100,91
Reykjavík,1,2020-08-18 12:00:00,2020-08-19 00:00:00,,0,4 / 1klst.,12,2,NNA,Rigning,100,23
Reykjavík,1,2020-08-18 12:00:00,2020-08-19 01:00:00,,1,0 / 1klst.,12,2,NNA,Rigning,100,23
Reykjavík,1,2020-08-18 12:00:00,2020-08-19 02:00:00,,1,1 / 1klst.,12,2,NNA,Rigning,100,23
Reykjavík,1,2020-08-18 12:00:00,2020-08-19 03:00:00,,0,9 / 1klst.,11,2,N,Rigning,100,360
Reykjavík,1,2020-08-18 12:00:00,2020-08-19 04:00:00,,0,7 / 1klst.,11,5,NNV,Rigning,100,344
Reykjavík,1,2020-08-18 12:00:00,2020-08-19 05:00:00,,0,5 / 1klst.,11,4,NV,Lítils háttar rigning,100,321
